text-input,output
Your personal data is aggregated into statistics,10
BBC will use Information to contact users about policy changes,0
The service provides details about what kinds of personal information they collect,30
The service informs users that its privacy policy does not apply to third party websites,10
You have the right to leave this service at any time,15
This service does not sell your personal data,25
This service may use your personal information for marketing purposes,50
"This service employs third-party cookies, but with opt-out instructions",5
You can request access and deletion of personal data,50
Third parties may be involved in operating the service,0
This service keeps a license on user-generated content even after users close their accounts.,50
This service can license user content to third parties,50
You cannot distribute or disclose your account to third parties,10
The service does not guarantee accuracy or reliability of the information provided,10
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
The service can distribute your content through any media known now or in the future ,50
This service assumes no responsibility and liability for the contents of links to other websites,50
The court of law governing the terms is in the UK.,0
The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection.,50
The service is not responsible for linked or (clearly) quoted content from third-party content providers,50
Your personal data is used to employ targeted third-party advertising,40
An onion site accessible over Tor is provided,40
The service's data retention period is kept to the minimum necessary for fulfilling its purposes,50
Your data may be processed and stored anywhere in the world,25
"Instead of asking directly, this Service will assume your consent merely from your usage.",50
They may stop providing the service at any time,40
"This service prohibits users sending chain letters, junk mail, spam or any unsolicited messages",25
This service throttles your use,30
The service does not guarantee accuracy or reliability of the information provided,10
This service is only available for use individually and non-commercially.,25
The service is not responsible for linked or (clearly) quoted content from third-party content providers,50
The service can distribute your content through any media known now or in the future ,50
The service has non-exclusive use of your content,10
This service keeps a license on user-generated content even after users close their accounts.,50
The service is provided 'as is' and to be used at the users' sole risk,20
The court of law governing the terms is in New York,0
Users have a reduced time period to take legal action against the service,50
"The service may change its terms at any time, but the user will receive notification of the changes.",0
This service can delete your content if you violate the terms,50
The service can suspend your account for several reasons,15
User accounts can be terminated after having been in breach of the terms of service repeatedly,50
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
The service collects many different types of personal data,70
This service tracks you on other websites,60
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
This service gathers information about you through third parties,50
This service shares your personal data with third parties that are not involved in its operation,70
This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,0
You can opt out of targeted advertising,25
"This service employs third-party cookies, but with opt-out instructions",5
"This service collects your IP address, which can be used to view your approximate location",0
Your data may be processed and stored anywhere in the world,25
This service tracks which web page referred you to it,50
You are responsible for maintaining the security of your account and for the activities on your account,10
They may stop providing the service at any time,40
Provides instructions on how to submit a copyright claim,10
"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",50
Blocking first party cookies may limit your ability to use the service,50
The service provides details about what kinds of personal information they collect,30
Third-party cookies are used for statistics,10
The service provides information about how they intend to use your personal data,30
This service receives your precise location through GPS coordinates,45
This service may use your personal information for marketing purposes,50
The service uses your personal data to employ targeted third-party advertising,40
This service shares your personal data with third parties that are not involved in its operation,70
This service allows you to retrieve an archive of your data,40
"You can request access, correction and/or deletion of your data",50
"This service collects your IP address, which can be used to view your approximate location",0
You can opt out of promotional communications,10
The service will only respond to government requests that are reasonable,30
Third parties are involved in operating the service,0
Tracking via third-party cookies for advertising,70
This service gives your personal data to third parties involved in its operation,35
Any liability on behalf of the service is only limited to the fees you paid as a user or $1500,10
This service forces users into binding arbitration in the case of disputes,50
"If you're a resident of the EU or the UK, you can limit how your information is used by third-parties and the service",50
"The court of law governing the terms is in California, USA",0
Your profile is combined across various products,50
You have the right to leave this service at any time,15
The service is provided 'as is' and to be used at the users' sole risk,20
"Users should revisit the terms periodically, although in case of material changes, the service will notify",50
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
App required for this service requires broad device permissions,80
The service uses your personal data for advertising,30
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,50
This service tracks which web page referred you to it,50
"The service may use tracking pixels, web beacons and device fingerprinting on users.",50
There is a date of the last update of the agreements,50
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
"Any liability on behalf of the service is only limited to $ 1,000",10
The court of law governing the terms is in State of California,0
The service claims to be GDPR compliant for European users,20
Third-party cookies are used for advertising,70
This service gives your personal data to third parties involved in its operation,35
This service reserves the right to disclose your personal information without notifying you,50
Your browser's Do Not Track (DNT) headers are respected,30
Your personal data is not sold,25
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
The service is provided 'as is' and to be used at your sole risk,20
This service is only available to users over 13 of age,15
Your personal data is used for advertising,30
The service claims to be CCPA compliant for California users,20
"Your IP address is collected, which can be used to view your approximate location",0
Blocking first party cookies may limit your ability to use the service,50
"This service may collect, use, and share location data",75
"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",50
Third-party cookies are used for advertising,70
This service tracks which web page referred you to it,50
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,50
Information is provided about security practices,15
Users have a reduced time period to take legal action against the service,50
This service gathers information about you through third parties,50
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
The service can delete specific content without prior notice and without a reason,50
"Users agree not to submit libelous, harassing or threatening content",20
The service can delete your account without prior notice and without a reason,60
sign away moral rights,50
Prohibits the posting of pornographic content,15
You waive your right to a class action.,50
Users shall not interfere with another person's enjoyment of the service,25
You are responsible for maintaining the security of your account and for the activities on your account,10
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
The service does not guarantee accuracy or reliability of the information provided,10
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
Prohibits the posting of content which promotes or glorifies violence or politically or religiously extremist values.,20
" Terms may be changed any time at their discretion, without notice to the user ",70
Your profile is combined across various products,50
This service receives your precise location through GPS coordinates,45
This service may use your personal information for marketing purposes,50
The service uses your personal data to employ targeted third-party advertising,40
The service may collect extra data about you through promotions,50
Your biometric data is collected,30
This service gives your personal data to third parties involved in its operation,35
The service informs users that its privacy policy does not apply to third party websites,10
This service tracks you on other websites,60
This service gathers information about you through third parties,50
The service provides information about how they intend to use your personal data,30
The service provides details about what kinds of personal information they collect,30
This service shares your personal data with third parties that are not involved in its operation,70
There is a date of the last update of the agreements,50
This service is a subsidiary of WarnerMedia,10
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
This service assumes no liability for unauthorized access to your personal information,30
The service is provided 'as is' and to be used at the users' sole risk,20
This service forces users into binding arbitration in the case of disputes,50
The court of law governing the terms is in location X,0
Users have a reduced time period to take legal action against the service,50
Spidering or crawling is not allowed,20
Provides instructions on how to submit a copyright claim,10
The service collects many different types of personal data,70
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
This service reserves the right to disclose your personal information without notifying you,50
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
"Users agree not to submit libelous, harassing or threatening content",20
You can delete your content from this service,50
This service is only available for use individually and non-commercially.,25
The service can delete specific content without reason and may do it without prior notice,50
This service does not condone any ideas contained in its user-generated contents,35
You waive your right to a class action.,50
User accounts can be terminated after having been in breach of the terms of service repeatedly,50
"Users should revisit the terms periodically, although in case of material changes, the service will notify",50
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
The service is provided 'as is' and to be used at the users' sole risk,20
This service is only available to users over a certain age,15
You have the right to leave this service at any time,15
Users agree not to submit illegal content,0
Provides instructions on how to submit a copyright claim,10
This service forces users into binding arbitration in the case of disputes,50
There is a date of the last update of the terms,50
The service is not responsible for linked or (clearly) quoted content from third-party content providers,50
You are responsible for maintaining the security of your account and for the activities on your account,10
The court of law governing the terms is in location X,0
There is a date of the last update of the terms,50
"The service may change its terms at any time, but the user will receive notification of the changes.",0
Your personal data is aggregated into statistics,10
The service can delete specific content without prior notice and without a reason,50
Your private content may be accessed by people working for the service,30
The service can delete your account without prior notice and without a reason,60
The service refers users to external documents for more information,10
Tracking via third-party cookies for other purposes without your consent.,70
Your data may be processed and stored anywhere in the world,25
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,50
This service is only available to users of a certain age,15
Blocking cookies may limit your ability to use the service,50
" Terms may be changed any time at their discretion, without notice to the user ",70
There is a date of the last update of the terms,50
The service can delete specific content without prior notice and without a reason,50
This service does not sell your personal data,25
They may stop providing the service at any time,40
This service uses your personal information for many different purposes,40
This service uses third-party cookies for statistics,10
The service allows you to use pseudonyms,20
The copyright license that users grant this service is limited to the parties that make up the service's broader platform.,50
"The service may change its terms at any time, but the user will receive notification of the changes.",0
This service reserves the right to disclose your personal information without notifying you,50
The service is provided 'as is' and to be used at the users' sole risk,20
"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",50
The service warns you of the potential consequences related to third-party access,30
Provides instructions on how to submit a copyright claim,10
This service uses third-party cookies for statistics,10
You can opt out of promotional communications,10
Tracking via third-party cookies for other purposes including advertising,70
This service gathers information about you through third parties,50
This service does not sell your personal data,25
Your personal data is given to third parties,35
This service tracks you on other websites,60
This service can license user content to third parties,50
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
You can opt out of targeted advertising,25
This service tracks which web page referred you to it,50
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
This service is only available to users of a certain age,15
The service does not guarantee accuracy or reliability of the information provided,10
This service may use your personal information for marketing purposes,50
There is a date of the last update of the terms,50
The service can distribute your content through any media known now or in the future ,50
The service has non-exclusive use of your content,10
This service may keep personal data after a request for erasure for business interests or legal obligations,70
Third parties may be involved in operating the service,0
They store data on you even if you did not interact with the service,100
"You agree not to submit libelous, harassing or threatening content",20
The service uses your personal data to employ targeted third-party advertising,40
"Users should revisit the terms periodically, although in case of material changes, the service will notify",50
Your data may be processed and stored anywhere in the world,25
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
The court of law governing the terms is in location X,0
"Users are responsible for any risks, damages, or losses they may incur by downloading materials",50
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,50
You maintain ownership of your data,50
Your private content may be accessed by people working for the service,30
The service will not allow third parties to access your personal information without a legal basis,50
The service provides details about what kinds of personal information they collect,30
personal data is given to third parties,35
The service provides information about how they intend to use your personal data,30
The service does not guarantee accuracy or reliability of the information provided,10
This service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,0
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
Blocking cookies may limit your ability to use the service,50
This service uses third-party cookies for statistics,10
"The service may change its terms at any time, but the user will receive notification of the changes.",0
The copyright license that users grant this service is limited to the parties that make up the service's broader platform.,50
The service can delete your account without prior notice and without a reason,60
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
The service is provided 'as is' and to be used at the users' sole risk,20
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
This service is only available to users of a certain age,15
The service can suspend your account for violating the terms of service,15
The court of law governing the terms is in the State of Delaware,0
The service does not guarantee that software errors will be corrected,50
The service promises (subject to law) to inform and/or notify users regarding government inquiries that may involve users' personal data ,50
Users agree not to submit illegal content,0
The service is provided 'as is' and to be used at the users' sole risk,20
The service can delete your account without prior notice and without a reason,60
This service is only available to users of a certain age,15
Users who have been permanently banned from this service are not allowed to re-register under a new account,20
This service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,0
The service can read your private messages,70
This service forces users into binding arbitration in the case of disputes,50
You are responsible for maintaining the security of your account and for the activities on your account,10
You can opt out of promotional communications,10
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,50
You waive your right to a class action.,50
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
This service tracks you on other websites,60
The service does not guarantee that software errors will be corrected,50
You must report to the service any unauthorized use of your account or any breach of security,10
You maintain ownership of your data,50
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
This service can share your personal information to third parties ,70
Your personal data is given to third parties,35
This service forces users into binding arbitration in the case of disputes,50
You can choose the copyright license,10
"Instead of asking directly, this Service will assume your consent merely from your usage.",50
"This service employs third-party cookies, but with opt-out instructions",5
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
You have the right to leave this service at any time,15
This service does not sell your personal data,25
This service uses third-party cookies for statistics,10
This service is only available for use individually and non-commercially.,25
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
The service can delete specific content without reason and may do it without prior notice,50
The service can delete your account without prior notice and without a reason,60
They may stop providing the service at any time,40
"If you are the target of a copyright holder's take down notice, this service gives you the opportunity to defend yourself",20
The service provides a free help desk,10
Blocking cookies may limit your ability to use the service,50
This service is only available to users of a certain age,15
You can opt out of targeted advertising,25
"This service may collect, use, and share location data",75
The service is provided 'as is' and to be used at the users' sole risk,20
There is a date of the last update of the terms,50
Third parties may be involved in operating the service,0
This service can delete your content if you violate the terms,50
Your data may be processed and stored anywhere in the world,25
This service may use your personal information for marketing purposes,50
"When the service wants to make a material change to its terms, users are notified at least 30 days in advance",40
You maintain ownership of your data,50
This service can license user content to third parties,50
The service provides a complaint mechanism for the handling of personal data,30
"If you are the target of a copyright claim, your content may be removed",15
The service has non-exclusive use of your content,10
This service keeps a license on user-generated content even after users close their accounts.,50
Provides instructions on how to submit a copyright claim,10
This Service provides a list of Third Parties involved in its operation.,20
This service is a subsidiary of Google,10
"Users should revisit the terms periodically, although in case of material changes, the service will notify",50
The service does not guarantee accuracy or reliability of the information provided,10
The service allows you to use pseudonyms,20
You are responsible for maintaining the security of your account and for the activities on your account,10
The service can delete your account without prior notice and without a reason,60
The service informs users about the risk of publishing personal info online,40
Your profile is combined across various products,50
There is a date of the last update of the terms,50
They may stop providing the service at any time,40
Blocking first party cookies may limit your ability to use the service,50
This service uses third-party cookies for statistics,10
The service is not responsible for linked or (clearly) quoted content from third-party content providers,50
You waive your right to a class action.,50
This service gathers information about you through third parties,50
This service can share your personal information to third parties ,70
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
The service does not guarantee accuracy or reliability of the information provided,10
You can opt out of promotional communications,10
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
This service may use your personal information for marketing purposes,50
The service can delete your account without prior notice and without a reason,60
The service is provided 'as is' and to be used at the users' sole risk,20
You are responsible for maintaining the security of your account and for the activities on your account,10
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
This service is only available to users over a certain age,15
Tracking via third-party cookies for other purposes without your consent.,70
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,50
Your data may be processed and stored anywhere in the world,25
The service uses your personal data to employ targeted third-party advertising,40
"Terms may be changed any time at their discretion, without notice to the user",70
You are forced into binding arbitration in case of disputes,50
"If you are the target of a copyright claim, your content may be removed",15
Instructions are provided on how to submit a copyright claim,10
The service is provided 'as is' and to be used at your sole risk,20
"You are responsible for any risks, damages, or losses that may incur by downloading materials",50
You waive your right to a class action.,50
"You agree not to submit libelous, harassing or threatening content",20
Blocking first party cookies may limit your ability to use the service,50
"This service may collect, use, and share location data",75
This service tracks which web page referred you to it,50
Tracking via third-party cookies for other purposes without your consent.,70
"This service collects your IP address, which can be used to view your approximate location",0
This service gathers information about you through third parties,50
This service may use your personal information for marketing purposes,50
This service requires first-party cookies,10
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
Terms and privacy policy pages are organized and formatted well.,15
Users can request access and deletion of personal info.,50
The service has a no refund policy,50
Your biometric data is collected,30
You have the right to leave this service at any time,15
Many third parties are involved in operating the service,50
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
Spidering or crawling is not allowed,20
The service uses your personal data to employ targeted third-party advertising,40
The service provides information about how they intend to use your personal data,30
The service will only respond to government requests that are reasonable,30
The court of law governing the terms is in location Netherlands,0
The service provides information about how they collect personal data,50
This service allows you to retrieve an archive of your data,40
This service can share your personal information to third parties ,70
This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,0
App required for this service requires broad device permissions,80
The service provides details about what kinds of personal information they collect,30
This service uses third-party cookies for statistics,10
The service may collect extra data about you through promotions,50
The service provides a complaint mechanism for the handling of personal data,30
The service provides a free help desk,10
The service uses social media cookies/pixels,50
You can opt out of promotional communications,10
This service may keep personal data after a request for erasure for business interests or legal obligations,70
There is a date of the last update of the agreements,50
The service informs users about the risk of publishing personal info online,40
You authorise the service to charge a credit card supplied on re-occurring basis,50
You can opt out of targeted advertising,25
"You must provide your legal name, pseudonyms are not allowed",20
The service uses your personal data for advertising,30
This service tracks you on social media and public databases.,60
This service is only available for use individually and non-commercially.,25
Your data may be processed and stored anywhere in the world,25
"When the service wants to make a material change to its terms, users are notified at least 30 days in advance",40
Minors must have the authorization of their legal guardians to use the service,0
"Your IP address is collected, which can be used to view your approximate location",0
"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",50
This service is only available to users over 18 years old,15
You are responsible for maintaining the security of your account and for the activities on your account,10
This service uses your personal information for many different purposes,40
Promises will be kept after a merger or acquisition,50
"Netflix reserve the right to disclose personal info, no notification.",50
The service collects many different types of personal data,70
Tracking pixels are used in service-to-user communication,5
You can limit how your information is used by third-parties and the service,50
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
This service tracks which web page referred you to it,50
This service is only available to users over a certain age,15
Your data may be processed and stored anywhere in the world,25
This service gathers information about you through third parties,50
This service may use your personal information for marketing purposes,50
You maintain ownership of your data,50
There is a date of the last update of the terms,50
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
The service is not responsible for linked or (clearly) quoted content from third-party content providers,50
Users agree not to use the service for illegal purposes,10
The service can suspend your account for several reasons,15
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
You can request access and deletion of personal data,50
The terms for this service are easy to read,15
The service uses your personal data to employ targeted third-party advertising,40
Your profile is combined across various products,50
"Your IP address is collected, which can be used to view your approximate location",0
The service is provided 'as is' and to be used at your sole risk,20
This service receives your precise location through GPS coordinates,45
"Users agree not to submit libelous, harassing or threatening content",20
Tracking via third-party cookies for other purposes without your consent.,70
"Instead of asking directly, this Service will assume your consent merely from your usage.",50
"Instead of asking directly, this Service will assume your consent merely from your usage.",50
You agree not to use the service for illegal purposes,10
You can delete your content from this service,50
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
You are forced into binding arbitration in case of disputes,50
You maintain ownership of your content,50
Your browsing history can be viewed by the service,50
"Your IP address is collected, which can be used to view your approximate location",0
This service shares your personal data with third parties that are not essential to its operation,70
You can retrieve an archive of your data,40
Information is provided about what kind of information they collect,30
Tracking pixels are used in service-to-user communication,5
Third-party cookies are used for statistics,10
Your personal data is used to employ targeted third-party advertising,40
 Pseudonyms are allowed,20
"This service may collect, use, and share location data",75
Your data may be processed and stored anywhere in the world,25
This service tracks you on other websites,60
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,50
This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,0
You can opt out of targeted advertising,25
The service claims to be GDPR compliant for European users,20
Information is provided about how your personal data is used,30
This service gives your personal data to third parties involved in its operation,35
Your personal data is used for advertising,30
Voice data is collected and shared with third-parties,50
 You are being tracked via social media cookies/pixels,50
Sensitive data is collected and shared to target advertising,50
This service may use your personal information for marketing purposes,50
The service collects many different types of personal data,70
Private messages can be read,70
This service gathers information about you through third parties,50
The service can delete your account without prior notice and without a reason,60
"The service provides information about its attitude towards ethical, social or political problems or controversies",25
"This service collects your IP address, which can be used to view your approximate location",0
There is a date of the last update of the agreements,50
Your biometric data is collected,30
The service can intervene in user disputes,40
This service is only available to users over a certain age,15
You must create an account to use this service,25
"Users are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",10
"Users should revisit the terms periodically, although in case of material changes, the service will notify",50
This service tracks you on other websites,60
Private messages can be read,70
Your profile is combined across various products,50
Third-party cookies are used for statistics,10
"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",50
This service shares your personal data with third parties that are not involved in its operation,70
Information is provided about how your personal data is used,30
Your data may be processed and stored anywhere in the world,25
Many different types of personal data are collected,70
This service gives your personal data to third parties involved in its operation,35
Sensitive data is collected and shared to target advertising,50
Your personal data is used for advertising,30
The service claims to be CCPA compliant for California users,20
The service claims to be LGPD compliant for Brazilian users,20
"The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection (California, USA)",50
You are forced into binding arbitration in case of disputes,50
You have the right to request lower Charges from Third Party Providers,50
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
Uber can transfer the TOS to affiliates and successors without your consent,50
Your personal data is aggregated into statistics,10
"You can request access, correction and/or deletion of your data",50
This service requires first-party cookies,10
Your personal data is aggregated into statistics,10
This service does not condone any ideas contained in its user-generated contents,35
"Users should revisit the terms periodically, although in case of material changes, the service will notify",50
You can opt out of targeted advertising,25
This service may use your personal information for marketing purposes,50
Third parties may be involved in operating the service,0
This service respects your browser's Do Not Track (DNT) headers,30
They store data on you even if you did not interact with the service,100
This service tracks you on other websites,60
This service requires first-party cookies,10
This service is only available to users over a certain age,15
There is a date of the last update of the agreements,50
Your data may be processed and stored anywhere in the world,25
You maintain ownership of your data,50
This service can license user content to third parties,50
The service has non-exclusive use of your content,10
The service can delete your account without prior notice and without a reason,60
"defend, indemnify, hold harmless; survives termination",35
The terms for this service are easy to read,15
The service can delete specific content without reason and may do it without prior notice,50
The service is provided 'as is' and to be used at the users' sole risk,20
This service gathers information about you through third parties,50
This service assumes no liability for unauthorized access to your personal information,30
The copyright license that users grant this service is limited to the parties that make up the service's broader platform.,50
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
You cannot distribute or disclose your account to third parties,10
The service provides information about how they intend to use your personal data,30
There is a date of the last update of the terms,50
App required for this service requires broad device permissions,80
This service collects your IP address for location use,0
The service provides information about how they collect personal data,50
This service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,0
The service uses your personal data for advertising,30
You are responsible for maintaining the security of your account and for the activities on your account,10
You can opt out of promotional communications,10
The court of law governing the terms is in location X,0
This service assumes no responsibility and liability for the contents of links to other websites,50
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
You waive your right to a class action.,50
This service holds onto content that you've deleted,30
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
The service can read your private messages,70
The service uses your personal data to employ targeted third-party advertising,40
This service forces users into binding arbitration in the case of disputes,50
The service provides details about what kinds of personal information they collect,30
no spidering or crawling,20
You can delete your content from this service,50
"Users are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",10
This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,0
This service can use your content for all their existing and future services,50
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,50
"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",50
You maintain ownership of your content,50
You authorise the service to charge a credit card supplied on re-occurring basis,50
Alternative accounts are not allowed,30
This service is only available to users over 16 years of age,15
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
This service gives your personal data to third parties involved in its operation,35
Information is provided about how your personal data is used,30
Any liability on behalf of the service is only limited to the fees you paid as a user or $1000,10
The service is provided 'as is' and to be used at the users' sole risk,20
You have the right to leave this service at any time,15
Your personal data is used for advertising,30
This service does not guarantee that it or the products obtained through it meet your expectations or requirements,0
"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period",40
This service tracks you on other websites,60
Third-party cookies are used for advertising,70
Tracking pixels are used in service-to-user communication,5
Third-party cookies are used for statistics,10
Specific content can be deleted without reason and may be removed without prior notice,50
Copyright license limited for the purposes of that same service but transferable and sublicenseable,15
Information is gathered about you through third parties,50
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
Third parties used by the service are bound by confidentiality obligations,20
First-party cookies are used,10
This service receives your precise location through GPS coordinates,45
"You must provide your legal name, pseudonyms are not allowed",20
Blocking first party cookies may limit your ability to use the service,50
The service collects many different types of personal data,70
The service gives 30 days of notice before closing your account,15
"When the service wants to change its terms, users are notified a month or more in advance",40
Tracking pixels are used in service-to-user communication,5
Your data may be processed and stored anywhere in the world,25
Third parties may be involved in operating the service,0
The court of law governing the terms is in location X,0
You can delete your content from this service,50
Blocking first party cookies may limit your ability to use the service,50
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
This service gathers information about you through third parties,50
You maintain ownership of your data,50
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
You have the right to leave this service at any time,15
This service gives your personal data to third parties involved in its operation,35
There is a date of the last update of the agreements,50
You must create an account to use this service,25
Your private content may be accessed by people working for the service,30
There is a date of the last update of the agreements,50
There is a date of the last update of the agreements,50
There is a date of the last update of the agreements,50
There is a date of the last update of the agreements,50
This service reserves the right to disclose your personal information without notifying you,50
The service is not responsible for linked or (clearly) quoted content from third-party content providers,50
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",60
"They can delete any of your data (files, music, messages, etc.) at any time and without notice",50
This service receives your location through GPS coordinates,45
This service is only available to users of a certain age,15
The service provides two factor authentification for your account,25
"This service may collect, use, and share location data",75
You can opt out of targeted advertising,25
Your personal data will not be used for an automated decision-making,40
